,open,high,low,close,adjclose,volume,ticker,adjclose_1,true_adjclose_1,buy_profit,sell_profit
2021-03-30,32.0,33.369998931884766,31.31999969482422,33.2599983215332,33.2599983215332,1425300,CRSR,33.62585,33.290000915527344,0.36585235595703125,0.0
2021-03-31,33.459999084472656,34.18000030517578,32.709999084472656,33.290000915527344,33.290000915527344,1088200,CRSR,33.62585,33.869998931884766,0.3358497619628906,0.0
2021-04-01,33.77000045776367,34.9900016784668,33.560001373291016,33.869998931884766,33.869998931884766,1442300,CRSR,33.62585,34.22999954223633,-0.24414825439453125,0.0
2021-04-05,34.5,34.805999755859375,33.59000015258789,34.22999954223633,34.22999954223633,781500,CRSR,33.62585,34.65999984741211,-0.6041488647460938,0.0
2021-04-06,34.369998931884766,35.86000061035156,34.26100158691406,34.65999984741211,34.65999984741211,907300,CRSR,33.62585,34.58000183105469,0.0,1.034149169921875
2021-04-07,34.5,35.27000045776367,34.0,34.58000183105469,34.58000183105469,636200,CRSR,33.62585,34.43000030517578,0.0,0.9541511535644531
2021-04-08,34.58000183105469,34.900001525878906,33.599998474121094,34.43000030517578,34.43000030517578,588500,CRSR,33.62585,33.52000045776367,0.0,0.8041496276855469
2021-04-09,34.099998474121094,34.34000015258789,33.209999084472656,33.52000045776367,33.52000045776367,826600,CRSR,33.62585,33.66999816894531,0.1058502197265625,0.0
2021-04-12,33.709999084472656,34.060001373291016,33.029998779296875,33.66999816894531,33.66999816894531,657100,CRSR,33.62585,33.709999084472656,-0.044147491455078125,0.0
2021-04-13,33.380001068115234,33.97999954223633,33.36000061035156,33.709999084472656,33.709999084472656,745200,CRSR,33.62585,33.93000030517578,-0.08414840698242188,0.0
2021-04-14,33.54999923706055,34.779998779296875,33.5099983215332,33.93000030517578,33.93000030517578,802600,CRSR,33.62585,34.15999984741211,-0.3041496276855469,0.0
2021-04-15,34.16999816894531,34.38999938964844,33.38999938964844,34.15999984741211,34.15999984741211,939700,CRSR,33.62585,32.599998474121094,0.0,0.534149169921875
2021-04-16,34.060001373291016,34.150001525878906,32.52000045776367,32.599998474121094,32.599998474121094,948200,CRSR,33.62585,32.16999816894531,0.0,-1.0258522033691406
2021-04-19,32.459999084472656,33.33000183105469,31.989999771118164,32.16999816894531,32.16999816894531,994700,CRSR,33.62585,32.41999816894531,1.4558525085449219,0.0
